S1,action,reward,S2
"[0.09, 0, 0, 0, False]",3,0,"[0.0, 0, 0.2, 0.5, False]"
"[0.0, 0, 0.2, 0.5, False]",1,0,"[0.0, 0, 0.19166666666666668, 0.4791666666666667, False]"
"[0.0, 0, 0.19166666666666668, 0.4791666666666667, False]",3,0,"[0.05, 0, 0.3916666666666667, 0.9791666666666667, False]"
"[0.05, 0, 0.3916666666666667, 0.9791666666666667, False]",1,0,"[0.01, 0, 0.38333333333333336, 0.9583333333333334, False]"
"[0.01, 0, 0.38333333333333336, 0.9583333333333334, False]",2,0,"[0.04, 0, 0.18333333333333335, 0.45833333333333337, False]"
"[0.04, 0, 0.18333333333333335, 0.45833333333333337, False]",1,0,"[0.05, 0, 0.17500000000000002, 0.43750000000000006, False]"
"[0.05, 0, 0.17500000000000002, 0.43750000000000006, False]",2,0,"[0.07, 0, -0.024999999999999994, -0.062499999999999944, False]"
"[0.07, 0, -0.024999999999999994, -0.062499999999999944, False]",1,0,"[0.07, 0, -0.033333333333333326, -0.08333333333333327, False]"
"[0.07, 0, -0.033333333333333326, -0.08333333333333327, False]",4,0,"[0.07, 1, -0.033333333333333326, -0.08333333333333327, False]"
"[0.07, 1, -0.033333333333333326, -0.08333333333333327, False]",4,0,"[0.07, 0, -0.033333333333333326, -0.08333333333333327, False]"
"[0.07, 0, -0.033333333333333326, -0.08333333333333327, False]",3,0,"[0.32, 0, 0.16666666666666669, 0.41666666666666674, False]"
"[0.32, 0, 0.16666666666666669, 0.41666666666666674, False]",2,0,"[0.36, 0, -0.033333333333333326, -0.08333333333333326, False]"
"[0.36, 0, -0.033333333333333326, -0.08333333333333326, False]",2,0,"[0.36, 0, -0.23333333333333334, -0.5833333333333333, False]"
"[0.36, 0, -0.23333333333333334, -0.5833333333333333, False]",0,5,"[0.01, 0, -0.225, -0.5624999999999999, False]"
"[0.01, 0, -0.225, -0.5624999999999999, False]",2,0,"[0.16, 0, -0.42500000000000004, -1.0625, False]"
"[0.16, 0, -0.42500000000000004, -1.0625, False]",4,0,"[0.16, 1, -0.42500000000000004, -1.0625, False]"
"[0.16, 1, -0.42500000000000004, -1.0625, False]",3,5,"[0.03, 1, -0.42500000000000004, -0.5625, False]"
"[0.03, 1, -0.42500000000000004, -0.5625, False]",0,0,"[0.03, 1, -0.42500000000000004, -0.5416666666666666, False]"
"[0.03, 1, -0.42500000000000004, -0.5416666666666666, False]",4,0,"[0.03, 0, -0.42500000000000004, -0.5416666666666666, False]"
"[0.03, 0, -0.42500000000000004, -0.5416666666666666, False]",3,0,"[0.11, 0, -0.22500000000000003, -0.04166666666666663, False]"
"[0.11, 0, -0.22500000000000003, -0.04166666666666663, False]",2,0,"[0.15, 0, -0.42500000000000004, -0.5416666666666666, False]"
"[0.15, 0, -0.42500000000000004, -0.5416666666666666, False]",1,0,"[0.04, 0, -0.4333333333333334, -0.5625, False]"
"[0.04, 0, -0.4333333333333334, -0.5625, False]",1,0,"[0.06, 0, -0.44166666666666676, -0.5833333333333334, False]"
"[0.06, 0, -0.44166666666666676, -0.5833333333333334, False]",3,0,"[0.05, 0, -0.24166666666666675, -0.08333333333333337, False]"
"[0.05, 0, -0.24166666666666675, -0.08333333333333337, False]",1,0,"[0.06, 0, -0.2500000000000001, -0.1041666666666667, False]"
"[0.06, 0, -0.2500000000000001, -0.1041666666666667, False]",3,0,"[0.06, 0, -0.0500000000000001, 0.3958333333333333, False]"
"[0.06, 0, -0.0500000000000001, 0.3958333333333333, False]",0,5,"[0.06, 0, -0.04166666666666677, 0.41666666666666663, False]"
"[0.06, 0, -0.04166666666666677, 0.41666666666666663, False]",1,0,"[0.08, 0, -0.0500000000000001, 0.3958333333333333, False]"
"[0.08, 0, -0.0500000000000001, 0.3958333333333333, False]",1,0,"[0.08, 0, -0.05833333333333343, 0.375, False]"
"[0.08, 0, -0.05833333333333343, 0.375, False]",2,0,"[0.1, 0, -0.2583333333333334, -0.125, False]"
