epoch,average_reward,average_q_value
0,0.8,-0.036404093837036806
1,0.6,-0.028576461151242256
2,0.9,-0.010058272643946112
3,0.3,-0.012270563105121255
4,0.7,-0.01614490314386785
5,0.4,-0.020233825109899045
6,0.9,-0.022553544472903014
7,0.8,-0.024138321317732334
8,0.8,-0.026183177679777146
9,0.44,-0.026861482448875904
10,0.7,-0.02687611173838377
11,0.9,-0.028915393874049188
12,0.5,-0.02939824141561985
13,2.6,-0.030566953495144843
14,0.7,-0.031147144585847854
15,0.4,-0.030935711339116097
16,0.4,-0.03205297455191612
17,0.4,-0.03213549990206957
18,0.4,-0.03289600223302841
19,0.8,-0.033524949289858344
20,0.8,-0.03420775376260281
21,1.1,-0.03435497656464577
22,1.1,-0.03503911938518286
23,0.4,-0.03508949548006058
24,0.6,-0.03433001209050417
25,1.1,-0.03303956970572472
26,0.0,-0.033023982867598535
27,0.4,-0.03299636978656054
28,0.3,-0.033150657266378405
29,0.6,-0.03263246189802885
30,0.9,-0.03415845755487681
31,0.6,-0.034337655678391456
32,0.7,-0.035780325978994366
33,0.4,-0.036712317019701006
34,0.5,-0.03612120877951384
35,0.8,-0.036861992254853246
36,0.7,-0.037327925562858584
37,0.7,-0.03862831480801106
38,0.7,-0.03917964264750481
39,0.2,-0.03976798385381699
40,0.4,-0.03795209918551299
41,0.2,-0.03696195125579834
42,0.6,-0.03778906162828207
43,0.2,-0.037438844107091425
44,1.0,-0.03891006410121918
45,0.4,-0.03950727038085461
46,0.9,-0.03819376729428768
47,0.5,-0.03792417027056217
48,0.5,-0.03946804583072663
49,0.0,-0.03861060282405542
50,0.4,-0.03917532917112112
51,0.4,-0.04011521876162412
52,0.3,-0.039283263236284255
53,0.3,-0.039324404329669715
54,0.3,-0.039118483439087866
55,2.5,-0.03944148860871792
56,0.2,-0.03944539606571198
57,0.1,-0.039843997582793236
58,0.1,-0.039060141742229465
59,0.3,-0.03956822581589222
60,0.5,-0.03933895468711853
61,0.4,-0.03927656769752502
62,0.8,-0.03952165052294731
63,0.2,-0.0391388013958931
64,0.3,-0.040081946179270744
65,0.3,-0.03905091293156147
66,0.2,-0.038866539970040324
67,0.5,-0.04016939282417297
68,0.1,-0.03950294202231631
69,0.2,-0.039228863678872586
70,0.3,-0.04003794439136982
71,0.3,-0.04076077915728092
72,0.2,-0.041653910800814625
73,2.0,-0.04099393770098686
74,0.1,-0.04008171580731869
75,0.2,-0.04045115225017071
76,0.2,-0.041058108508586884
77,0.3,-0.04006897710263729
78,0.1,-0.040627052187919614
79,0.4,-0.04041308984160423
80,0.2,-0.041028368324041366
81,0.14,-0.04106328576803207
82,0.0,-0.040975198671221735
83,0.2,-0.040705335065722464
84,0.0,-0.0404492773860693
85,0.4,-0.04022910788655281
86,0.2,-0.04037948563694954
87,0.2,-0.04054978601634503
88,0.1,-0.04154222704470158
89,0.1,-0.04127397462725639
90,0.0,-0.042590108662843705
91,0.1,-0.042616859823465345
92,0.1,-0.04318549558520317
93,0.1,-0.04301688872277737
94,0.2,-0.04378199823200703
95,0.0,-0.04431488797068596
96,0.0,-0.04496088944375515
97,0.1,-0.044930845052003864
98,0.1,-0.04522223465144634
99,0.0,-0.0462484123557806
100,0.0,-0.04700622126460075
101,0.0,-0.045285939562077424
102,0.0,-0.04531665302813053
103,0.1,-0.04519597075879574
104,0.1,-0.045519559234380724
105,0.0,-0.04569463536143303
106,0.1,-0.046226454451680186
107,0.3,-0.045488810539245604
108,0.0,-0.04619822196662426
109,0.0,-0.04690944947302342
110,0.2,-0.047080207392573355
111,0.0,-0.04762120380997658
112,0.0,-0.04760520674288273
113,0.0,-0.050077443718910215
114,0.0,-0.04894777052104473
115,0.0,-0.04946346029639244
116,0.0,-0.04987884767353535
117,0.0,-0.051152697578072545
118,0.0,-0.05126567870378494
119,0.1,-0.05063369996845722
120,0.0,-0.049419903633545856
121,0.0,-0.04941388875246048
122,0.0,-0.04934368327260017
123,0.0,-0.04868811562657356
124,0.0,-0.04939559757709503
125,0.3,-0.04927305042743683
126,0.0,-0.049273075833916664
127,0.2,-0.04942498601973057
128,0.0,-0.04916030265390873
129,0.0,-0.050557259991765024
130,0.1,-0.05015479490160942
131,0.0,-0.04947927705943585
132,0.0,-0.050320985913276675
133,0.0,-0.05038972854614258
134,0.0,-0.05124411933124065
135,0.0,-0.05091083742678165
136,0.0,-0.0521724595874548
137,0.0,-0.05179562546312809
138,0.1,-0.053435310423374176
139,0.1,-0.054341073334217074
140,0.0,-0.05360734686255455
141,0.1,-0.05488372258841991
142,0.1,-0.054518035650253295
143,0.1,-0.05471010647714138
144,0.1,-0.05628112308681011
145,0.0,-0.05693125106394291
146,0.0,-0.05721636608242989
147,0.1,-0.05866674661636353
148,0.0,-0.058675206303596496
149,0.0,-0.05971326306462288
150,0.0,-0.05970735728740692
151,0.0,-0.060707755610346796
152,0.0,-0.0603549699485302
153,0.0,-0.06259450085461139
154,0.1,-0.06333337403833866
155,0.0,-0.06423814445734025
156,0.0,-0.0641128184646368
157,0.0,-0.06669270440936088
158,0.1,-0.06631656534969807
159,0.0,-0.0668469324707985
160,0.2,-0.06283430344596201
161,0.0,-0.0637460247427225
162,0.1,-0.06259373426437378
163,0.0,-0.06303892374038696
