S1,action,reward,S2
"[0.11, 0, 1.0, 0.0, False]",2,-1.0,"[0.11, 0, -0.2, 0, False]"
"[0.11, 0, 1.0, 0.0, False]",3,-1.0,"[0.18, 0, 0.0, 0, False]"
"[0.18, 0, 0.5, 0.2, False]",2,-1.0,"[0.21, 0, -0.2, 0, False]"
"[0.21, 0, 1.0, 0.0, False]",1,0.0,"[0.21, 0, -0.20833333333333334, 0.0, False]"
"[0.21, 0, 1.0, 0.0, False]",2,-1.0,"[0.21, 0, -0.4083333333333333, 0, False]"
"[0.21, 0, 1.0, 0.0, False]",3,-1.0,"[0.07, 0, -0.20833333333333331, 0, False]"
"[0.07, 0, 0.5, 0.2, False]",4,-1.0,"[0.07, 1, -0.20833333333333331, 0.2, False]"
"[0.07, 1, 0.5, 0.2, False]",2,-1.0,"[0.08, 1, -0.20833333333333331, 0, False]"
"[0.08, 1, 1.0, 0.2, False]",2,-1.0,"[0.08, 1, -0.20833333333333331, 0, False]"
"[0.08, 1, 1.0, 0.2, False]",2,-1.0,"[0.08, 1, -0.20833333333333331, 0, False]"
"[0.08, 1, 1.0, 0.2, False]",1,-1.0,"[0.08, 1, -0.20833333333333331, 0.2, False]"
"[0.08, 1, 1.0, 0.2, False]",4,-1.0,"[0.08, 0, -0.20833333333333331, 0.2, False]"
"[0.08, 0, 1.0, 0.2, False]",2,-1.0,"[0.08, 0, -0.4083333333333333, 0, False]"
"[0.08, 0, 1.0, 0.2, False]",2,-1.0,"[0.08, 0, -0.6083333333333334, 0, False]"
"[0.08, 0, 1.0, 0.2, False]",4,-1.0,"[0.08, 1, -0.6083333333333334, 0.2, False]"
"[0.08, 1, 1.0, 0.2, False]",3,-1.0,"[0.03, 1, -0.6083333333333334, 0, False]"
"[0.03, 1, 0.5, 0.2, False]",3,-1.0,"[0.05, 1, -0.6083333333333334, 0, False]"
"[0.05, 1, 0.0, 0.2, False]",0,-1.0,"[0.05, 1, -0.6083333333333334, 0.2, False]"
"[0.05, 1, 0.0, 0.2, False]",3,-1.0,"[0.05, 1, -0.6083333333333334, 0, False]"
"[0.05, 1, 0.0, 0.2, False]",4,-1.0,"[0.05, 0, -0.6083333333333334, 0.2, False]"
"[0.05, 0, 0.0, 0.2, False]",2,-1.0,"[0.03, 0, -0.8083333333333333, 0, False]"
"[0.03, 0, 0.5, 0.0, False]",0,0.9,"[0.05, 0, -0.8, 0.008333333333333333, False]"
"[0.05, 0, 0.4791666666666667, 0.008333333333333333, False]",2,-1.0,"[0.08, 0, -1.0, 0, False]"
"[0.08, 0, 0.9791666666666666, -0.19166666666666668, False]",1,0.0,"[0.08, 0, -1.0083333333333333, -0.2, False]"
"[0.08, 0, 1.0, -0.2, False]",3,-1.0,"[0.03, 0, -0.8083333333333333, 0, False]"
"[0.03, 0, 0.5, 0.0, False]",0,0.94,"[0.03, 0, -0.8, 0.008333333333333333, False]"
"[0.03, 0, 0.4791666666666667, 0.008333333333333333, False]",4,-1.0,"[0.03, 1, -0.8, 0.008333333333333333, False]"
"[0.03, 1, 0.4791666666666667, 0.008333333333333333, False]",3,-1.0,"[0.05, 1, -0.8, 0, False]"
"[0.05, 1, 0.0, 0.008333333333333333, False]",1,-1.0,"[0.01, 1, -0.8, 0.008333333333333333, False]"
"[0.01, 1, 0.020833333333333332, 0.008333333333333333, False]",1,-1.0,"[0.0, 1, -0.8, 0.008333333333333333, False]"
"[0.0, 1, 0.041666666666666664, 0.008333333333333333, False]",2,-1.0,"[0.06, 1, -0.8, 0, False]"
"[0.06, 1, 0.5416666666666666, 0.008333333333333333, False]",2,-1.0,"[0.08, 1, -0.8, 0, False]"
"[0.08, 1, 1.0, 0.008333333333333333, False]",4,-1.0,"[0.08, 0, -0.8, 0.008333333333333333, False]"
"[0.08, 0, 1.0, 0.008333333333333333, False]",3,-1.0,"[0.45, 0, -0.6000000000000001, 0, False]"
"[0.45, 0, 0.5, 0.20833333333333334, False]",1,0.0,"[0.28, 0, -0.6083333333333334, 0.2, False]"
"[0.28, 0, 0.5208333333333334, 0.2, False]",1,0.0,"[0.19, 0, -0.6166666666666667, 0.19166666666666668, False]"
"[0.19, 0, 0.5416666666666666, 0.19166666666666668, False]",0,0.48,"[0.26, 0, -0.6083333333333334, 0.2, False]"
"[0.26, 0, 0.5208333333333334, 0.2, False]",3,-1.0,"[0.04, 0, -0.4083333333333334, 0, False]"
"[0.04, 0, 0.020833333333333332, 0.4, False]",4,-1.0,"[0.04, 1, -0.4083333333333334, 0.4, False]"
"[0.04, 1, 0.020833333333333332, 0.4, False]",0,-1.0,"[0.05, 1, -0.4083333333333334, 0.4, False]"
"[0.05, 1, 0.0, 0.4, False]",4,-1.0,"[0.05, 0, -0.4083333333333334, 0.4, False]"
"[0.05, 0, 0.0, 0.4, False]",1,0.0,"[0.03, 0, -0.41666666666666674, 0.39166666666666666, False]"
"[0.03, 0, 0.020833333333333332, 0.39166666666666666, False]",1,0.0,"[0.01, 0, -0.4250000000000001, 0.38333333333333336, False]"
"[0.01, 0, 0.041666666666666664, 0.38333333333333336, False]",0,0.9,"[0.05, 0, -0.41666666666666674, 0.39166666666666666, False]"
"[0.05, 0, 0.020833333333333332, 0.39166666666666666, False]",0,0.88,"[0.06, 0, -0.4083333333333334, 0.4, False]"
