epoch,average_reward,average_q_value
0,-0.6980000000000001,-0.04332740078954136
1,-0.5511999999999999,-0.04229659430682659
2,-0.6072,-0.043742129281163215
3,-0.7472,-0.04583998762071133
4,-0.45360000000000006,-0.0466517985612154
5,-0.38280000000000003,-0.04736466705799103
6,-0.23480000000000012,-0.048308509290218356
7,-0.9216,-0.04888099573552609
8,-0.4192,-0.049646944776177405
9,-0.4608000000000001,-0.05009020902216434
10,-1.0,-0.0508523190766573
11,-0.8051999999999999,-0.05220140479505062
12,-0.41159999999999997,-0.053108428567647935
13,-0.4895999999999999,-0.05256608955562115
14,-0.7312000000000001,-0.050370443764389775
15,-0.7447999999999999,-0.04829962208867073
16,-0.98,-0.04705658249557018
17,-0.86,-0.04592177696526051
18,-1.0,-0.04495526902377606
19,-1.0,-0.044727495163679125
20,-0.96,-0.04332128681242466
21,-1.0,-0.04365767814218998
22,-1.0,-0.04304572924971581
23,0.8608000000000001,-0.041793406617884735
24,0.6140000000000001,-0.04208475142717361
25,0.9520000000000003,-0.04169149909700666
26,-0.5576,-0.04287339225411415
27,-1.0,-0.04341500366524774
28,-0.056400000000000006,-0.043585238712174554
29,0.9348000000000003,-0.043519129026301055
30,-1.1964,-0.04372878783211416
