S1,action,reward,S2
"[0.02, 0, 0, 0, False]",2,0.0,"[0.02, 0, -0.2, -0.5, False]"
"[0.02, 0, -0.2, -0.5, False]",2,0.0,"[0.02, 0, -0.4, -1.0, False]"
"[0.02, 0, -0.4, -1.0, False]",4,1.0,"[0.02, 1, -0.4, -1.0, False]"
"[0.02, 1, -0.4, -1.0, False]",1,-1.0,"[0.02, 1, -0.4, -1.0208333333333333, False]"
"[0.02, 1, -0.4, -1.0208333333333333, False]",2,0.0,"[0.02, 1, -0.4, -1.5208333333333333, False]"
"[0.02, 1, -0.4, -1.5208333333333333, False]",1,-1.0,"[0.02, 1, -0.4, -1.5416666666666665, False]"
"[0.02, 1, -0.4, -1.5416666666666665, False]",1,-1.0,"[0.02, 1, -0.4, -1.5624999999999998, False]"
"[0.02, 1, -0.4, -1.5624999999999998, False]",1,-1.0,"[0.02, 1, -0.4, -1.583333333333333, False]"
"[0.02, 1, -0.4, -1.583333333333333, False]",1,-1.0,"[0.02, 1, -0.4, -1.6041666666666663, False]"
"[0.02, 1, -0.4, -1.6041666666666663, False]",1,-1.0,"[0.02, 1, -0.4, -1.6249999999999996, False]"
"[0.02, 1, -0.4, -1.6249999999999996, False]",0,-1.0,"[0.03, 1, -0.4, -1.6041666666666663, False]"
"[0.03, 1, -0.4, -1.6041666666666663, False]",2,0.0,"[0.02, 1, -0.4, -2.104166666666666, False]"
"[0.02, 1, -0.4, -2.104166666666666, False]",2,0.0,"[0.02, 1, -0.4, -2.604166666666666, False]"
"[0.02, 1, -0.4, -2.604166666666666, False]",1,-1.0,"[0.02, 1, -0.4, -2.6249999999999996, False]"
"[0.02, 1, -0.4, -2.6249999999999996, False]",1,-1.0,"[0.02, 1, -0.4, -2.645833333333333, False]"
"[0.02, 1, -0.4, -2.645833333333333, False]",2,0.0,"[0.02, 1, -0.4, -3.145833333333333, False]"
"[0.02, 1, -0.4, -3.145833333333333, False]",0,-1.0,"[0.03, 1, -0.4, -3.1249999999999996, False]"
"[0.03, 1, -0.4, -3.1249999999999996, False]",0,-1.0,"[0.03, 1, -0.4, -3.104166666666666, False]"
"[0.03, 1, -0.4, -3.104166666666666, False]",3,1.0,"[0.0, 1, -0.4, -2.604166666666666, False]"
"[0.0, 1, -0.4, -2.604166666666666, False]",4,-1.0,"[0.0, 0, -0.4, -2.604166666666666, False]"
"[0.0, 0, -0.4, -2.604166666666666, False]",2,0.0,"[0.46, 0, -0.6000000000000001, -3.104166666666666, False]"
"[0.46, 0, -0.6000000000000001, -3.104166666666666, False]",3,0.0,"[0.09, 0, -0.4000000000000001, -2.604166666666666, False]"
"[0.09, 0, -0.4000000000000001, -2.604166666666666, False]",1,0.0,"[0.01, 0, -0.40833333333333344, -2.6249999999999996, False]"
"[0.01, 0, -0.40833333333333344, -2.6249999999999996, False]",0,0.84,"[0.08, 0, -0.4000000000000001, -2.604166666666666, False]"
"[0.08, 0, -0.4000000000000001, -2.604166666666666, False]",3,0.0,"[0.03, 0, -0.20000000000000007, -2.104166666666666, False]"
"[0.03, 0, -0.20000000000000007, -2.104166666666666, False]",1,0.0,"[0.0, 0, -0.2083333333333334, -2.1249999999999996, False]"
"[0.0, 0, -0.2083333333333334, -2.1249999999999996, False]",2,0.0,"[0.31, 0, -0.40833333333333344, -2.6249999999999996, False]"
"[0.31, 0, -0.40833333333333344, -2.6249999999999996, False]",1,0.0,"[0.05, 0, -0.4166666666666668, -2.645833333333333, False]"
"[0.05, 0, -0.4166666666666668, -2.645833333333333, False]",0,0.88,"[0.06, 0, -0.40833333333333344, -2.6249999999999996, False]"
"[0.06, 0, -0.40833333333333344, -2.6249999999999996, False]",1,0.0,"[0.06, 0, -0.4166666666666668, -2.645833333333333, False]"
"[0.06, 0, -0.4166666666666668, -2.645833333333333, False]",3,0.0,"[0.05, 0, -0.21666666666666679, -2.145833333333333, False]"
"[0.05, 0, -0.21666666666666679, -2.145833333333333, False]",0,0.76,"[0.12, 0, -0.20833333333333345, -2.1249999999999996, False]"
"[0.12, 0, -0.20833333333333345, -2.1249999999999996, False]",4,1.0,"[0.12, 1, -0.20833333333333345, -2.1249999999999996, False]"
"[0.12, 1, -0.20833333333333345, -2.1249999999999996, False]",1,-1.0,"[0.02, 1, -0.20833333333333345, -2.145833333333333, False]"
"[0.02, 1, -0.20833333333333345, -2.145833333333333, False]",1,-1.0,"[0.03, 1, -0.20833333333333345, -2.1666666666666665, False]"
"[0.03, 1, -0.20833333333333345, -2.1666666666666665, False]",1,-1.0,"[0.01, 1, -0.20833333333333345, -2.1875, False]"
"[0.01, 1, -0.20833333333333345, -2.1875, False]",1,-1.0,"[0.02, 1, -0.20833333333333345, -2.2083333333333335, False]"
"[0.02, 1, -0.20833333333333345, -2.2083333333333335, False]",4,-1.0,"[0.02, 0, -0.20833333333333345, -2.2083333333333335, False]"
"[0.02, 0, -0.20833333333333345, -2.2083333333333335, False]",3,0.0,"[0.09, 0, -0.008333333333333443, -1.7083333333333335, False]"
"[0.09, 0, -0.008333333333333443, -1.7083333333333335, False]",4,1.0,"[0.09, 1, -0.008333333333333443, -1.7083333333333335, False]"
"[0.09, 1, -0.008333333333333443, -1.7083333333333335, False]",0,-1.0,"[0.09, 1, -0.008333333333333443, -1.6875000000000002, False]"
"[0.09, 1, -0.008333333333333443, -1.6875000000000002, False]",1,-1.0,"[0.03, 1, -0.008333333333333443, -1.7083333333333335, False]"
"[0.03, 1, -0.008333333333333443, -1.7083333333333335, False]",2,0.0,"[0.0, 1, -0.008333333333333443, -2.2083333333333335, False]"
"[0.0, 1, -0.008333333333333443, -2.2083333333333335, False]",3,1.0,"[0.05, 1, -0.008333333333333443, -1.7083333333333335, False]"
"[0.05, 1, -0.008333333333333443, -1.7083333333333335, False]",1,-1.0,"[0.03, 1, -0.008333333333333443, -1.7291666666666667, False]"
"[0.03, 1, -0.008333333333333443, -1.7291666666666667, False]",3,1.0,"[0.05, 1, -0.008333333333333443, -1.2291666666666667, False]"
"[0.05, 1, -0.008333333333333443, -1.2291666666666667, False]",1,-1.0,"[0.02, 1, -0.008333333333333443, -1.25, False]"
"[0.02, 1, -0.008333333333333443, -1.25, False]",0,-1.0,"[0.05, 1, -0.008333333333333443, -1.2291666666666667, False]"
"[0.05, 1, -0.008333333333333443, -1.2291666666666667, False]",3,0.0,"[0.05, 1, -0.008333333333333443, -0.7291666666666667, False]"
"[0.05, 1, -0.008333333333333443, -0.7291666666666667, False]",3,0.0,"[0.05, 1, -0.008333333333333443, -0.22916666666666674, False]"
"[0.05, 1, -0.008333333333333443, -0.22916666666666674, False]",4,-1.0,"[0.05, 0, -0.008333333333333443, -0.22916666666666674, False]"
"[0.05, 0, -0.008333333333333443, -0.22916666666666674, False]",1,0.0,"[0.07, 0, -0.016666666666666774, -0.25000000000000006, False]"
"[0.07, 0, -0.016666666666666774, -0.25000000000000006, False]",1,0.0,"[0.07, 0, -0.025000000000000105, -0.27083333333333337, False]"
"[0.07, 0, -0.025000000000000105, -0.27083333333333337, False]",2,0.0,"[0.41, 0, -0.22500000000000012, -0.7708333333333334, False]"
"[0.41, 0, -0.22500000000000012, -0.7708333333333334, False]",1,0.0,"[0.11, 0, -0.23333333333333345, -0.7916666666666667, False]"
"[0.11, 0, -0.23333333333333345, -0.7916666666666667, False]",2,0.0,"[0.53, 0, -0.43333333333333346, -1.2916666666666667, False]"
"[0.53, 0, -0.43333333333333346, -1.2916666666666667, False]",1,0.0,"[0.53, 0, -0.4416666666666668, -1.3125, False]"
