epoch,step,Tz,gripper,tot_angle,rel_angle,CT_detected
0,1,0.02,0,0,0,False
0,2,0.02,0,-0.2,-0.5,False
0,3,0.02,0,-0.4,-1.0,False
0,4,0.02,1,-0.4,-1.0,False
0,5,0.02,1,-0.4,-1.0208333333333333,False
0,6,0.02,1,-0.4,-1.5208333333333333,False
0,7,0.02,1,-0.4,-1.5416666666666665,False
0,8,0.02,1,-0.4,-1.5624999999999998,False
0,9,0.02,1,-0.4,-1.583333333333333,False
0,10,0.02,1,-0.4,-1.6041666666666663,False
0,11,0.02,1,-0.4,-1.6249999999999996,False
0,12,0.03,1,-0.4,-1.6041666666666663,False
0,13,0.02,1,-0.4,-2.104166666666666,False
0,14,0.02,1,-0.4,-2.604166666666666,False
0,15,0.02,1,-0.4,-2.6249999999999996,False
0,16,0.02,1,-0.4,-2.645833333333333,False
0,17,0.02,1,-0.4,-3.145833333333333,False
0,18,0.03,1,-0.4,-3.1249999999999996,False
0,19,0.03,1,-0.4,-3.104166666666666,False
0,20,0.0,1,-0.4,-2.604166666666666,False
0,21,0.0,0,-0.4,-2.604166666666666,False
0,22,0.46,0,-0.6000000000000001,-3.104166666666666,False
0,23,0.09,0,-0.4000000000000001,-2.604166666666666,False
0,24,0.01,0,-0.40833333333333344,-2.6249999999999996,False
0,25,0.08,0,-0.4000000000000001,-2.604166666666666,False
0,26,0.03,0,-0.20000000000000007,-2.104166666666666,False
0,27,0.0,0,-0.2083333333333334,-2.1249999999999996,False
0,28,0.31,0,-0.40833333333333344,-2.6249999999999996,False
0,29,0.05,0,-0.4166666666666668,-2.645833333333333,False
0,30,0.06,0,-0.40833333333333344,-2.6249999999999996,False
0,31,0.06,0,-0.4166666666666668,-2.645833333333333,False
0,32,0.05,0,-0.21666666666666679,-2.145833333333333,False
0,33,0.12,0,-0.20833333333333345,-2.1249999999999996,False
0,34,0.12,1,-0.20833333333333345,-2.1249999999999996,False
0,35,0.02,1,-0.20833333333333345,-2.145833333333333,False
0,36,0.03,1,-0.20833333333333345,-2.1666666666666665,False
0,37,0.01,1,-0.20833333333333345,-2.1875,False
0,38,0.02,1,-0.20833333333333345,-2.2083333333333335,False
0,39,0.02,0,-0.20833333333333345,-2.2083333333333335,False
0,40,0.09,0,-0.008333333333333443,-1.7083333333333335,False
0,41,0.09,1,-0.008333333333333443,-1.7083333333333335,False
0,42,0.09,1,-0.008333333333333443,-1.6875000000000002,False
0,43,0.03,1,-0.008333333333333443,-1.7083333333333335,False
0,44,0.0,1,-0.008333333333333443,-2.2083333333333335,False
0,45,0.05,1,-0.008333333333333443,-1.7083333333333335,False
0,46,0.03,1,-0.008333333333333443,-1.7291666666666667,False
0,47,0.05,1,-0.008333333333333443,-1.2291666666666667,False
0,48,0.02,1,-0.008333333333333443,-1.25,False
0,49,0.05,1,-0.008333333333333443,-1.2291666666666667,False
0,50,0.05,1,-0.008333333333333443,-0.7291666666666667,False
1,1,0.05,1,-0.008333333333333443,-0.22916666666666674,False
1,2,0.05,0,-0.008333333333333443,-0.22916666666666674,False
1,3,0.07,0,-0.016666666666666774,-0.25000000000000006,False
1,4,0.07,0,-0.025000000000000105,-0.27083333333333337,False
1,5,0.41,0,-0.22500000000000012,-0.7708333333333334,False
1,6,0.11,0,-0.23333333333333345,-0.7916666666666667,False
1,7,0.53,0,-0.43333333333333346,-1.2916666666666667,False
1,8,0.53,0,-0.4416666666666668,-1.3125,False
1,9,0.53,0,-0.6416666666666668,-1.8125,False
1,10,0.09,0,-0.6333333333333335,-1.7916666666666667,False
1,11,0.02,0,-0.6250000000000002,-1.7708333333333335,False
1,12,0.03,0,-0.4250000000000002,-1.2708333333333335,False
1,13,0.06,0,-0.41666666666666685,-1.2500000000000002,False
1,14,0.06,0,-0.21666666666666684,-0.7500000000000002,False
1,15,0.06,0,-0.01666666666666683,-0.2500000000000002,False
1,16,0.33,0,-0.21666666666666684,-0.7500000000000002,False
1,17,0.09,0,-0.01666666666666683,-0.2500000000000002,False
1,18,0.05,0,-0.02500000000000016,-0.27083333333333354,False
1,19,0.08,0,-0.03333333333333349,-0.29166666666666685,False
1,20,0.09,0,-0.041666666666666824,-0.31250000000000017,False
1,21,0.07,0,-0.050000000000000155,-0.3333333333333335,False
1,22,0.06,0,-0.05833333333333349,-0.3541666666666668,False
1,23,0.03,0,-0.06666666666666682,-0.3750000000000001,False
1,24,0.09,0,-0.05833333333333349,-0.3541666666666668,False
1,25,0.1,0,-0.050000000000000155,-0.3333333333333335,False
1,26,0.09,0,-0.05833333333333349,-0.3541666666666668,False
1,27,0.11,0,0.14166666666666652,0.1458333333333332,False
1,28,0.11,0,0.34166666666666656,0.6458333333333333,False
1,29,0.1,0,0.3333333333333332,0.6249999999999999,False
1,30,0.12,0,0.34166666666666656,0.6458333333333333,False
1,31,0.12,1,0.34166666666666656,0.6458333333333333,False
