epoch,average_reward,average_q_value
0,0.08559999999999998,0.06375811117536881
1,0.15719999999999998,0.0596718991547823
2,0.0832,0.0592399487644434
3,0.023200000000000002,0.05928895108401775
4,0.0704,0.048920137733221056
5,0.04880000000000001,0.03840998991639638
6,0.0704,0.015569421402469743
7,0.16080000000000003,-0.006554792420938611
8,0.068,-0.027417100677266718
9,0.1332,-0.05342102766036987
10,0.1272,-0.07258364463225007
11,0.0412,-0.10005891755223274
12,0.08560000000000002,-0.10830493934452534
13,0.008,-0.117925156801939
14,0.13880000000000003,-0.14823250278830527
15,0.037599999999999995,-0.1560358749330044
16,0.1448,-0.165329876691103
17,0.07200000000000001,-0.17503011777997016
18,0.046400000000000004,-0.1842089195549488
19,0.09880000000000003,-0.18346972286701202
20,0.055999999999999994,-0.19334544897079467
21,0.08959999999999999,-0.19930580854415894
22,0.086,-0.19884393304586412
23,0.0784,-0.20258336186408996
24,0.0868,-0.20794448018074035
25,0.0424,-0.20794549465179443
26,0.1176,-0.19988468198143705
27,0.05200000000000001,-0.2034275008738041
28,0.0504,-0.19930734902620315
29,0.09000000000000002,-0.20438979268074037
30,0.0592,-0.20334215700626374
31,0.022400000000000003,-0.21055690586566925
32,0.08560000000000001,-0.19965230762958527
33,0.1256,-0.21322496473789215
34,0.08440000000000002,-0.2095849609375
35,0.049600000000000005,-0.21216814041137697
36,0.1312,-0.21414320170879364
37,0.056400000000000006,-0.21485136270523073
38,0.08199999999999999,-0.21436179459095
39,0.0932,-0.21596570789813996
40,0.09920000000000001,-0.22057889968156816
41,0.06120000000000001,-0.22038512617349626
42,0.06,-0.22073110491037368
43,0.0648,-0.22495996177196503
44,0.0272,-0.2254887968301773
45,0.017599999999999998,-0.22731121242046357
46,0.031599999999999996,-0.2252808877825737
47,0.0388,-0.22836359798908235
48,0.05960000000000001,-0.2297443839907646
49,0.004,-0.2293634009361267
50,0.030799999999999998,-0.2288801848888397
51,0.0584,-0.22952271819114686
52,0.0388,-0.22860026985406875
53,0.062400000000000004,-0.23172830939292907
54,0.0256,-0.23447001457214356
55,0.0552,-0.23478472411632537
56,0.0592,-0.23514755457639694
57,0.0272,-0.2386093658208847
58,0.0432,-0.24001519083976747
59,0.0352,-0.23564699351787566
60,0.0308,-0.2366671806573868
61,0.0388,-0.23913262009620667
62,0.012000000000000002,-0.2371235242486
63,0.0484,-0.24387806236743928
64,0.018799999999999997,-0.24025556355714797
65,0.0,-0.23829420417547226
66,0.0764,-0.23792625814676285
67,0.04,-0.2399085584282875
68,0.0,-0.2403362101316452
69,0.0,-0.24209995627403258
70,0.036000000000000004,-0.22982648866517202
71,0.0436,-0.2331491705775261
72,0.004,-0.23949030429124832
73,0.08,-0.23501732736825942
74,0.004,-0.232353992164135
75,0.008,-0.23111149579286575
76,0.004,-0.23066557794809342
77,0.016,-0.22294952481985092
78,0.0356,-0.22310655123117018
79,0.022400000000000003,-0.22932374715805054
80,0.0424,-0.2338128224015236
81,0.0,-0.2302942219376564
82,0.045599999999999995,-0.2300475737452507
83,0.018000000000000002,-0.23503358513116837
84,0.0,-0.23446837604045867
85,0.0,-0.23277459144592286
86,0.022000000000000002,-0.23352086514234544
87,0.0208,-0.2368391877412796
88,0.004,-0.23502870678901672
89,0.04,-0.23960835337638856
90,0.004,-0.23613659888505936
91,0.004,-0.23449598371982575
92,0.0,-0.2322772327065468
93,0.0,-0.23601442247629165
94,0.0,-0.2340974509716034
95,0.0,-0.23268197804689408
96,0.0,-0.23688773214817047
97,0.0248,-0.23363816052675246
98,0.004,-0.23265576988458633
99,0.0,-0.2378229331970215
100,0.0172,-0.2377432829141617
101,0.0,-0.2386609211564064
102,0.0212,-0.23344475418329239
103,0.004,-0.23585833758115768
104,0.0,-0.23256832838058472
105,0.0,-0.23338464707136153
106,0.0104,-0.23623749911785125
107,0.0,-0.23523841083049774
108,0.0296,-0.23420850843191146
109,0.0,-0.23159488528966904
110,0.0,-0.23525472342967987
111,0.0,-0.23366247594356537
112,0.0,-0.2347823104262352
113,0.0,-0.23423224985599517
114,0.004,-0.23131279349327089
115,0.008,-0.23153346180915832
116,0.004,-0.23017018795013428
117,0.0,-0.2323159709572792
118,0.0,-0.2270749604701996
119,0.0,-0.22934935569763185
120,0.0,-0.23153059035539628
121,0.0232,-0.23416223227977753
122,0.0,-0.23354992419481277
123,0.0,-0.23195651888847352
124,0.0184,-0.2283995258808136
125,0.0,-0.23085898637771607
126,0.0,-0.2307176810503006
127,0.0,-0.22798139989376068
128,0.0,-0.2291162818670273
129,0.0,-0.23121151596307754
130,0.004,-0.22890788465738296
131,0.018799999999999997,-0.23152342498302458
132,0.0176,-0.23224828720092774
133,0.0,-0.23264640629291533
134,0.0,-0.22938224107027053
135,0.0,-0.23211582779884338
136,0.036399999999999995,-0.23258320212364197
137,0.0,-0.23294043868780137
138,0.0,-0.23603987097740173
139,0.0,-0.23569531381130218
140,0.0,-0.2333820131421089
141,0.0,-0.2329585087299347
142,0.0,-0.23598756790161132
143,0.0176,-0.23619227945804597
144,0.0,-0.2369181776046753
145,0.0,-0.23560892522335053
146,0.02,-0.23932950377464293
147,0.02,-0.23525989711284637
148,0.0452,-0.24153704911470414
149,0.0368,-0.23704881370067596
150,0.0,-0.2391301891207695
151,0.0,-0.23650941729545594
152,0.0,-0.23789140969514846
153,0.0184,-0.23618604272603988
154,0.004,-0.24004008799791335
155,0.004,-0.2376616355776787
156,0.0,-0.23796881437301637
157,0.018799999999999997,-0.2398786148428917
158,0.004,-0.2407613679766655
159,0.0,-0.23925041049718856
160,0.0,-0.24138342827558518
161,0.0,-0.2435833778977394
162,0.0,-0.24532582134008407
163,0.0,-0.2439827886223793
164,0.0,-0.24384951412677766
165,0.004,-0.2365834384548421
166,0.0,-0.24049614126584967
167,0.02,-0.2350522501736271
168,0.0368,-0.23453269746838784
169,0.004,-0.23838283091783524
170,0.0,-0.24223142772912978
171,0.0184,-0.23895173400640488
172,0.0,-0.23904471307992936
173,0.0,-0.24247317850589753
174,0.0,-0.24134652346372604
175,0.008,-0.23863572806119918
176,0.0304,-0.2446378481388092
177,0.0184,-0.24073702871799468
178,0.0,-0.2421973967552185
179,0.0,-0.24217191994190215
180,0.004,-0.24058039277791976
181,0.0192,-0.24151578575372695
182,0.0,-0.2436245447397232
183,0.02,-0.24143157333135604
184,0.0236,-0.24208252489566803
185,0.0,-0.24248787105083466
186,0.0,-0.24056204169988632
187,0.0,-0.24749072045087814
188,0.004,-0.2431393152475357
189,0.004,-0.24397505342960357
190,0.0196,-0.24331134378910066
191,0.0,-0.24507119566202162
192,0.004,-0.24489127963781357
193,0.0,-0.24839122503995895
194,0.004,-0.24708693772554396
195,0.0,-0.24830083757638932
196,0.0,-0.24777674466371535
197,0.0,-0.2474290180206299
198,0.0,-0.24605307668447496
199,0.03559999999999999,-0.24568862229585647
200,0.0,-0.2446900027990341
201,0.037599999999999995,-0.2523281416296959
202,0.0,-0.2517938232421875
203,0.0,-0.2483092141151428
204,0.0248,-0.2525932744145393
205,0.0168,-0.24897509098052978
206,0.008,-0.2491080492734909
207,0.0,-0.24999026834964752
208,0.0,-0.2527073600888252
209,0.018000000000000002,-0.25326131880283353
210,0.0184,-0.24616455697283454
211,0.0196,-0.2487370166182518
212,0.02,-0.24948692828416824
213,0.004,-0.2458441126346588
214,0.0,-0.249152053296566
215,0.0,-0.25017392754554746
216,0.004,-0.24774851500988007
217,0.0,-0.2503866744041443
218,0.0,-0.2509565031528473
219,0.0196,-0.2493591144680977
220,0.0,-0.2543879374861717
221,0.0,-0.25118966370821
222,0.004,-0.25431170880794524
223,0.0196,-0.25062026381492614
224,0.0192,-0.24884912312030794
225,0.0,-0.25451611369848254
226,0.0,-0.25047737032175066
227,0.004,-0.2526621404290199
228,0.0,-0.25267827868461606
229,0.0,-0.25288934499025345
230,0.004,-0.2543456467986107
231,0.0184,-0.2535747650265694
232,0.0,-0.25442966908216474
233,0.004,-0.25270000398159026
234,0.0,-0.2569027018547058
235,0.037200000000000004,-0.25829645216464997
236,0.0,-0.25661457538604737
237,0.0196,-0.2565432271361351
238,0.0384,-0.25600566297769545
239,0.0232,-0.2582725375890732
240,0.0344,-0.25846987903118135
241,0.004,-0.255933353304863
242,0.0216,-0.2581863090395927
243,0.0,-0.24868488250946513
244,0.0,-0.25426142901182175
245,0.0,-0.25211727023124697
246,0.0196,-0.24868754506111146
247,0.0,-0.25148632138967514
248,0.0,-0.2514976614713669
249,0.0,-0.25097965210676193
250,0.004,-0.25036727100610734
251,0.004,-0.25331694811582567
252,0.0,-0.2539657360315323
253,0.057600000000000005,-0.250289286673069
254,0.004,-0.24929004818201064
255,0.004,-0.24969845801591872
256,0.0408,-0.25222749322652815
257,0.0,-0.2476412197947502
258,0.0,-0.2504427933692932
259,0.0236,-0.248088056743145
260,0.0,-0.24846958339214326
261,0.0196,-0.2468509092926979
262,0.0,-0.24702468723058701
263,0.0,-0.24916032284498216
264,0.0,-0.24716132402420044
265,0.0,-0.248394855260849
266,0.0,-0.24734167844057084
267,0.0196,-0.24546581089496614
268,0.0,-0.2453163355588913
269,0.0,-0.24194978475570678
270,0.0172,-0.2470245987176895
271,0.0,-0.24411657512187956
272,0.0,-0.2459190833568573
273,0.0,-0.24609520822763442
274,0.0196,-0.248082694709301
275,0.0,-0.24439861953258515
276,0.038,-0.24175819158554077
277,0.0,-0.24291088193655014
278,0.0,-0.2415244287252426
279,0.0,-0.2444478017091751
280,0.0,-0.241216701567173
281,0.0,-0.237793447971344
282,0.018799999999999997,-0.239940282702446
283,0.0,-0.24407814770936967
284,0.0,-0.2416033747792244
285,0.0,-0.2414077639579773
286,0.0,-0.24560797929763795
287,0.0,-0.24188185662031172
288,0.0,-0.24216488838195802
289,0.004,-0.24205354154109954
290,0.0,-0.2449438080191612
291,0.0,-0.23945446342229842
292,0.0,-0.24276846498250962
293,0.0,-0.24213517099618911
294,0.004,-0.24090131402015685
295,0.0,-0.24179436951875688
296,0.0,-0.23760180509820275
297,0.022799999999999997,-0.24365405470132828
298,0.0,-0.24213904976844788
299,0.0196,-0.2436349305510521
300,0.0,-0.24456075310707093
301,0.0,-0.24432187348604203
302,0.0,-0.2435940119624138
303,0.0,-0.24716276198625564
304,0.0,-0.24410681456327438
305,0.004,-0.24521536976099015
306,0.0,-0.24669807851314546
307,0.004,-0.24489023685455322
308,0.0,-0.24584077775478363
309,0.0,-0.24495122224092483
310,0.0,-0.24619975835084915
311,0.0,-0.24738528490066528
312,0.0,-0.24808383047580718
313,0.0,-0.2440963250398636
314,0.018000000000000002,-0.2464416366815567
315,0.0,-0.24327639758586883
316,0.0,-0.245274778008461
317,0.0168,-0.24490980595350265
318,0.0,-0.24763023018836974
319,0.0,-0.24877754837274552
320,0.0,-0.2480263367295265
321,0.004,-0.25031267672777174
322,0.004,-0.24857416838407517
323,0.0,-0.24956586420536042
324,0.0,-0.24619869261980057
325,0.018799999999999997,-0.2485687819123268
326,0.0,-0.24640410631895066
327,0.0,-0.2505552914738655
328,0.0,-0.24783512949943542
329,0.0,-0.25025123357772827
330,0.008,-0.2511656147241592
331,0.0,-0.250592939555645
332,0.0,-0.24719834119081496
333,0.0,-0.2529831227660179
334,0.0,-0.2518956050276756
335,0.0,-0.25304286926984787
336,0.0,-0.2508327838778496
337,0.0,-0.253538216650486
338,0.004,-0.2511496180295944
339,0.004,-0.2516588297486305
340,0.022000000000000002,-0.24988741546869278
341,0.0,-0.25304854184389114
342,0.0,-0.2503792569041252
343,0.0,-0.25304084897041323
344,0.0,-0.2535232162475586
345,0.0,-0.24416147354914217
346,0.0,-0.24667495757341384
347,0.0,-0.24418552160263063
348,0.004,-0.24609254747629167
349,0.0,-0.24563827693462373
350,0.0,-0.24663343846797944
351,0.0272,-0.24428469747304915
352,0.0196,-0.24384520798921586
353,0.0192,-0.24775946795940398
354,0.008,-0.24344519764184952
355,0.0,-0.24511321276426315
356,0.02,-0.24369359403848648
357,0.02,-0.24319537848234177
358,0.004,-0.2457076108455658
359,0.0,-0.2441877219080925
360,0.004,-0.24206702440977096
361,0.0,-0.24227966368198395
362,0.0,-0.24636724174022676
363,0.0,-0.24275973677635193
364,0.018799999999999997,-0.24112737149000169
365,0.0,-0.24617597877979278
366,0.0,-0.24198066741228103
367,0.0,-0.24117364168167113
368,0.004,-0.24261338382959366
