S1,action,reward,S2
"[0.07, 0, 0, 0, False]",3,0.0,"[0.02, 0, 0.2, 0.5, False]"
"[0.02, 0, 0.2, 0.5, False]",1,0.0,"[0.02, 0, 0.19166666666666668, 0.4791666666666667, False]"
"[0.02, 0, 0.19166666666666668, 0.4791666666666667, False]",4,0.0,"[0.02, 1, 0.19166666666666668, 0.4791666666666667, False]"
"[0.02, 1, 0.19166666666666668, 0.4791666666666667, False]",3,0.0,"[0.09, 1, 0.19166666666666668, 0.9791666666666667, False]"
"[0.09, 1, 0.19166666666666668, 0.9791666666666667, False]",3,0.0,"[0.12, 1, 0.19166666666666668, 1.4791666666666667, False]"
"[0.12, 1, 0.19166666666666668, 1.4791666666666667, False]",0,0.0,"[0.12, 1, 0.19166666666666668, 1.5, False]"
"[0.12, 1, 0.19166666666666668, 1.5, False]",0,0.0,"[0.12, 1, 0.19166666666666668, 1.5208333333333333, False]"
"[0.12, 1, 0.19166666666666668, 1.5208333333333333, False]",4,0.0,"[0.12, 0, 0.19166666666666668, 1.5208333333333333, False]"
"[0.12, 0, 0.19166666666666668, 1.5208333333333333, False]",4,0.0,"[0.12, 1, 0.19166666666666668, 1.5208333333333333, False]"
"[0.12, 1, 0.19166666666666668, 1.5208333333333333, False]",0,0.0,"[0.12, 1, 0.19166666666666668, 1.5416666666666665, False]"
"[0.12, 1, 0.19166666666666668, 1.5416666666666665, False]",3,0.0,"[0.12, 1, 0.19166666666666668, 2.0416666666666665, False]"
"[0.12, 1, 0.19166666666666668, 2.0416666666666665, False]",0,0.0,"[0.12, 1, 0.19166666666666668, 2.0625, False]"
"[0.12, 1, 0.19166666666666668, 2.0625, False]",0,0.0,"[0.12, 1, 0.19166666666666668, 2.0833333333333335, False]"
"[0.12, 1, 0.19166666666666668, 2.0833333333333335, False]",0,0.0,"[0.12, 1, 0.19166666666666668, 2.104166666666667, False]"
"[0.12, 1, 0.19166666666666668, 2.104166666666667, False]",4,0.0,"[0.12, 0, 0.19166666666666668, 2.104166666666667, False]"
"[0.12, 0, 0.19166666666666668, 2.104166666666667, False]",0,0.76,"[0.12, 0, 0.2, 2.1250000000000004, False]"
